# l                Dl               -dDl             +dDl             
  2.09000000e+02   4.62696958e+03   5.45533438e+02   5.45533438e+02
  2.10000000e+02   5.42452950e+03   5.44875067e+02   5.44875067e+02
  2.11000000e+02   5.51708988e+03   5.44149407e+02   5.44149407e+02
  2.12000000e+02   5.88024579e+03   5.43382371e+02   5.43382371e+02
  2.13000000e+02   5.88185406e+03   5.42563955e+02   5.42563955e+02
  2.14000000e+02   5.25676876e+03   5.41697284e+02   5.41697284e+02
  2.15000000e+02   6.64729580e+03   5.40766504e+02   5.40766504e+02
  2.16000000e+02   5.80627699e+03   5.39790916e+02   5.39790916e+02
  2.17000000e+02   5.60293537e+03   5.38762994e+02   5.38762994e+02
  2.18000000e+02   6.27361975e+03   5.37689719e+02   5.37689719e+02
  2.19000000e+02   5.67514634e+03   5.36560739e+02   5.36560739e+02
  2.20000000e+02   6.37342096e+03   5.35379973e+02   5.35379973e+02
  2.21000000e+02   5.88718514e+03   5.34152484e+02   5.34152484e+02
  2.22000000e+02   5.76712669e+03   5.32872648e+02   5.32872648e+02
  2.23000000e+02   5.55931808e+03   5.31552026e+02   5.31552026e+02
  2.24000000e+02   6.11100352e+03   5.30173289e+02   5.30173289e+02
  2.25000000e+02   5.11446349e+03   5.28757762e+02   5.28757762e+02
  2.26000000e+02   5.93999591e+03   5.27282810e+02   5.27282810e+02
  2.27000000e+02   6.15328050e+03   5.25775653e+02   5.25775653e+02
  2.28000000e+02   4.74009279e+03   5.24206840e+02   5.24206840e+02
  2.29000000e+02   5.35055601e+03   5.22607441e+02   5.22607441e+02
  2.30000000e+02   5.65212921e+03   5.20950058e+02   5.20950058e+02
  2.31000000e+02   5.76851432e+03   5.19255551e+02   5.19255551e+02
  2.32000000e+02   6.65184383e+03   5.17509547e+02   5.17509547e+02
  2.33000000e+02   6.41382301e+03   5.15720055e+02   5.15720055e+02
  2.34000000e+02   4.51486726e+03   5.13887793e+02   5.13887793e+02
  2.35000000e+02   6.00930018e+03   5.12014676e+02   5.12014676e+02
  2.36000000e+02   6.08928179e+03   5.10100176e+02   5.10100176e+02
  2.37000000e+02   5.55574256e+03   5.08131989e+02   5.08131989e+02
  2.38000000e+02   5.93797206e+03   5.06130053e+02   5.06130053e+02
  2.39000000e+02   5.48044035e+03   5.04087538e+02   5.04087538e+02
  2.40000000e+02   6.06825199e+03   5.02003367e+02   5.02003367e+02
  2.41000000e+02   5.83571997e+03   4.99880821e+02   4.99880821e+02
  2.42000000e+02   5.41415550e+03   4.97716105e+02   4.97716105e+02
  2.43000000e+02   5.69673876e+03   4.95517745e+02   4.95517745e+02
  2.44000000e+02   5.18859656e+03   4.93277483e+02   4.93277483e+02
  2.45000000e+02   5.84481918e+03   4.91001984e+02   4.91001984e+02
  2.46000000e+02   5.74801553e+03   4.88695083e+02   4.88695083e+02
  2.47000000e+02   5.62547522e+03   4.86343931e+02   4.86343931e+02
  2.48000000e+02   6.01608565e+03   4.83961280e+02   4.83961280e+02
  2.49000000e+02   4.45766955e+03   4.81545190e+02   4.81545190e+02
  2.50000000e+02   5.08900090e+03   4.79088990e+02   4.79088990e+02
  2.51000000e+02   5.26995317e+03   4.76608659e+02   4.76608659e+02
  2.52000000e+02   5.71775582e+03   4.74085733e+02   4.74085733e+02
  2.53000000e+02   4.86530546e+03   4.71537639e+02   4.71537639e+02
  2.54000000e+02   4.41253015e+03   4.68953311e+02   4.68953311e+02
  2.55000000e+02   5.51992593e+03   4.66340190e+02   4.66340190e+02
  2.56000000e+02   6.08625812e+03   4.63700446e+02   4.63700446e+02
  2.57000000e+02   5.26932855e+03   4.61029431e+02   4.61029431e+02
  2.58000000e+02   5.42415464e+03   4.58331416e+02   4.58331416e+02
  2.59000000e+02   4.56246907e+03   4.55605014e+02   4.55605014e+02
  2.60000000e+02   5.69669305e+03   4.52855467e+02   4.52855467e+02
  2.61000000e+02   5.22334736e+03   4.50080196e+02   4.50080196e+02
  2.62000000e+02   5.51867427e+03   4.47278223e+02   4.47278223e+02
  2.63000000e+02   6.10740606e+03   4.44451425e+02   4.44451425e+02
  2.64000000e+02   4.82928420e+03   4.41603208e+02   4.41603208e+02
  2.65000000e+02   4.14971953e+03   4.38734255e+02   4.38734255e+02
  2.66000000e+02   5.58042492e+03   4.35836740e+02   4.35836740e+02
  2.67000000e+02   5.07075541e+03   4.32922871e+02   4.32922871e+02
  2.68000000e+02   5.55724723e+03   4.29987466e+02   4.29987466e+02
  2.69000000e+02   4.78618330e+03   4.27032080e+02   4.27032080e+02
  2.70000000e+02   4.25495805e+03   4.24060186e+02   4.24060186e+02
  2.71000000e+02   5.56325253e+03   4.21066906e+02   4.21066906e+02
  2.72000000e+02   5.84605478e+03   4.18060880e+02   4.18060880e+02
  2.73000000e+02   4.86525037e+03   4.15033987e+02   4.15033987e+02
  2.74000000e+02   5.33664475e+03   4.11996618e+02   4.11996618e+02
  2.75000000e+02   4.63530160e+03   4.08942431e+02   4.08942431e+02
  2.76000000e+02   3.99733187e+03   4.05875547e+02   4.05875547e+02
  2.77000000e+02   5.57253122e+03   4.02794786e+02   4.02794786e+02
  2.78000000e+02   4.98193632e+03   3.99704556e+02   3.99704556e+02
  2.79000000e+02   5.09225684e+03   3.96599042e+02   3.96599042e+02
  2.80000000e+02   4.34363711e+03   3.93485220e+02   3.93485220e+02
  2.81000000e+02   4.69992790e+03   3.90359788e+02   3.90359788e+02
  2.82000000e+02   5.00044551e+03   3.87228822e+02   3.87228822e+02
  2.83000000e+02   5.50061764e+03   3.84088000e+02   3.84088000e+02
  2.84000000e+02   4.44454429e+03   3.80938944e+02   3.80938944e+02
  2.85000000e+02   3.73257584e+03   3.77783391e+02   3.77783391e+02
  2.86000000e+02   4.60439113e+03   3.74624064e+02   3.74624064e+02
  2.87000000e+02   4.44565095e+03   3.71460005e+02   3.71460005e+02
  2.88000000e+02   4.17564857e+03   3.68291126e+02   3.68291126e+02
  2.89000000e+02   4.94082028e+03   3.65117006e+02   3.65117006e+02
  2.90000000e+02   4.57190745e+03   3.61941708e+02   3.61941708e+02
  2.91000000e+02   3.52057695e+03   3.58764078e+02   3.58764078e+02
  2.92000000e+02   4.68513605e+03   3.55584195e+02   3.55584195e+02
  2.93000000e+02   4.49725303e+03   3.52405755e+02   3.52405755e+02
  2.94000000e+02   4.10920669e+03   3.49224389e+02   3.49224389e+02
  2.95000000e+02   4.49117517e+03   3.46046364e+02   3.46046364e+02
  2.96000000e+02   4.71676644e+03   3.42868045e+02   3.42868045e+02
  2.97000000e+02   3.80892183e+03   3.39695570e+02   3.39695570e+02
  2.98000000e+02   4.04043838e+03   3.36522372e+02   3.36522372e+02
  2.99000000e+02   3.97243180e+03   3.33354254e+02   3.33354254e+02
  3.00000000e+02   4.54837242e+03   3.30190818e+02   3.30190818e+02
  3.01000000e+02   3.86090373e+03   3.27033389e+02   3.27033389e+02
  3.02000000e+02   4.05736235e+03   3.23880527e+02   3.23880527e+02
  3.03000000e+02   3.23177184e+03   3.20734124e+02   3.20734124e+02
  3.04000000e+02   3.90371114e+03   3.17595015e+02   3.17595015e+02
  3.05000000e+02   4.20752406e+03   3.14465554e+02   3.14465554e+02
  3.06000000e+02   3.61765988e+03   3.11342562e+02   3.11342562e+02
  3.07000000e+02   3.45840002e+03   3.08231003e+02   3.08231003e+02
  3.08000000e+02   4.20089864e+03   3.05126965e+02   3.05126965e+02
  3.09000000e+02   3.84354001e+03   3.02035278e+02   3.02035278e+02
  3.10000000e+02   3.63076979e+03   2.98955824e+02   2.98955824e+02
  3.11000000e+02   3.82122782e+03   2.95887104e+02   2.95887104e+02
  3.12000000e+02   3.46793652e+03   2.92829669e+02   2.92829669e+02
  3.13000000e+02   3.68650999e+03   2.89786851e+02   2.89786851e+02
  3.14000000e+02   3.05289680e+03   2.86757477e+02   2.86757477e+02
  3.15000000e+02   3.73319489e+03   2.83744397e+02   2.83744397e+02
  3.16000000e+02   3.96754530e+03   2.80744409e+02   2.80744409e+02
  3.17000000e+02   3.04688024e+03   2.77761489e+02   2.77761489e+02
  3.18000000e+02   3.14004526e+03   2.74795774e+02   2.74795774e+02
  3.19000000e+02   3.71261812e+03   2.71845906e+02   2.71845906e+02
  3.20000000e+02   3.70705897e+03   2.68915580e+02   2.68915580e+02
  3.21000000e+02   3.08983860e+03   2.66002196e+02   2.66002196e+02
  3.22000000e+02   3.66472037e+03   2.63107875e+02   2.63107875e+02
  3.23000000e+02   3.29324602e+03   2.60233483e+02   2.60233483e+02
  3.24000000e+02   3.12010628e+03   2.57379060e+02   2.57379060e+02
  3.25000000e+02   3.36850460e+03   2.54545450e+02   2.54545450e+02
  3.26000000e+02   3.68130360e+03   2.51731837e+02   2.51731837e+02
  3.27000000e+02   2.95113658e+03   2.48942335e+02   2.48942335e+02
  3.28000000e+02   3.40640543e+03   2.46173233e+02   2.46173233e+02
  3.29000000e+02   3.41088839e+03   2.43427807e+02   2.43427807e+02
  3.30000000e+02   2.99825385e+03   2.40704344e+02   2.40704344e+02
  3.31000000e+02   3.12122557e+03   2.38006500e+02   2.38006500e+02
  3.32000000e+02   2.95880104e+03   2.35332137e+02   2.35332137e+02
  3.33000000e+02   2.71253191e+03   2.32682732e+02   2.32682732e+02
  3.34000000e+02   2.78707666e+03   2.30059353e+02   2.30059353e+02
  3.35000000e+02   2.78727007e+03   2.27461246e+02   2.27461246e+02
  3.36000000e+02   3.05098763e+03   2.24890749e+02   2.24890749e+02
  3.37000000e+02   2.76200082e+03   2.22346872e+02   2.22346872e+02
  3.38000000e+02   2.95213007e+03   2.19830123e+02   2.19830123e+02
  3.39000000e+02   2.72686299e+03   2.17341080e+02   2.17341080e+02
  3.40000000e+02   2.83996536e+03   2.14880720e+02   2.14880720e+02
  3.41000000e+02   2.80738159e+03   2.12448566e+02   2.12448566e+02
  3.42000000e+02   2.87111187e+03   2.10044885e+02   2.10044885e+02
  3.43000000e+02   2.48555261e+03   2.07670885e+02   2.07670885e+02
  3.44000000e+02   2.63173162e+03   2.05326068e+02   2.05326068e+02
  3.45000000e+02   2.36134905e+03   2.03011639e+02   2.03011639e+02
  3.46000000e+02   2.51825614e+03   2.00726949e+02   2.00726949e+02
  3.47000000e+02   2.34683930e+03   1.98473339e+02   1.98473339e+02
  3.48000000e+02   2.46730326e+03   1.96250497e+02   1.96250497e+02
  3.49000000e+02   2.40792156e+03   1.94058831e+02   1.94058831e+02
  3.50000000e+02   2.40815751e+03   1.91899453e+02   1.91899453e+02
  3.51000000e+02   2.85161008e+03   1.89771699e+02   1.89771699e+02
  3.52000000e+02   2.36227377e+03   1.87676565e+02   1.87676565e+02
  3.53000000e+02   2.78942702e+03   1.85614278e+02   1.85614278e+02
  3.54000000e+02   2.66429783e+03   1.83584598e+02   1.83584598e+02
  3.55000000e+02   2.31966339e+03   1.81588189e+02   1.81588189e+02
  3.56000000e+02   2.09474693e+03   1.79624869e+02   1.79624869e+02
  3.57000000e+02   2.35340879e+03   1.77695220e+02   1.77695220e+02
  3.58000000e+02   2.27989392e+03   1.75798532e+02   1.75798532e+02
  3.59000000e+02   2.06929854e+03   1.73935777e+02   1.73935777e+02
  3.60000000e+02   2.32021104e+03   1.72106857e+02   1.72106857e+02
  3.61000000e+02   2.45016594e+03   1.70311640e+02   1.70311640e+02
  3.62000000e+02   2.22772597e+03   1.68550594e+02   1.68550594e+02
  3.63000000e+02   2.15210341e+03   1.66823393e+02   1.66823393e+02
  3.64000000e+02   2.70800174e+03   1.65130873e+02   1.65130873e+02
  3.65000000e+02   1.95102224e+03   1.63472418e+02   1.63472418e+02
  3.66000000e+02   1.83846291e+03   1.61848762e+02   1.61848762e+02
  3.67000000e+02   2.12048085e+03   1.60259734e+02   1.60259734e+02
  3.68000000e+02   2.01082559e+03   1.58705347e+02   1.58705347e+02
  3.69000000e+02   2.23204619e+03   1.57185997e+02   1.57185997e+02
  3.70000000e+02   1.97726432e+03   1.55701486e+02   1.55701486e+02
  3.71000000e+02   2.22259429e+03   1.54252214e+02   1.54252214e+02
  3.72000000e+02   1.96911982e+03   1.52837494e+02   1.52837494e+02
  3.73000000e+02   2.13485635e+03   1.51457978e+02   1.51457978e+02
  3.74000000e+02   1.97626405e+03   1.50113089e+02   1.50113089e+02
  3.75000000e+02   2.12062383e+03   1.48802692e+02   1.48802692e+02
  3.76000000e+02   1.99239641e+03   1.47526968e+02   1.47526968e+02
  3.77000000e+02   1.78239655e+03   1.46285622e+02   1.46285622e+02
  3.78000000e+02   2.19781218e+03   1.45078841e+02   1.45078841e+02
